filename,source_page_index_items500,filter_used,row_count,sn_min,sn_max,collection_type
prgi_batch_01.csv,0,none (unfiltered default listing),500,1,500,"sequential (initial dev sample, unfiltered default listing)"
prgi_batch_02.csv,1,none (unfiltered default listing),500,501,1000,"sequential (initial dev sample, unfiltered default listing)"
prgi_batch_03.csv,2,none (unfiltered default listing),500,1001,1500,"sequential (initial dev sample, unfiltered default listing)"
prgi_strat_page004.csv,4,none (unfiltered default listing),500,2001,2500,"stratified (unfiltered default listing, systematic page sample)"
prgi_strat_page012.csv,12,none (unfiltered default listing),500,6001,6500,"stratified (unfiltered default listing, systematic page sample)"
prgi_strat_page020.csv,20,none (unfiltered default listing),500,10001,10500,"stratified (unfiltered default listing, systematic page sample)"
prgi_strat_page028.csv,28,none (unfiltered default listing),500,14001,14500,"stratified (unfiltered default listing, systematic page sample)"
prgi_strat_page036.csv,36,none (unfiltered default listing),500,18001,18500,"stratified (unfiltered default listing, systematic page sample)"
prgi_strat_page044.csv,44,none (unfiltered default listing),500,22001,22500,"stratified (unfiltered default listing, systematic page sample)"
prgi_strat_page052.csv,52,none (unfiltered default listing),500,26001,26500,"stratified (unfiltered default listing, systematic page sample)"
prgi_strat_page060.csv,60,none (unfiltered default listing),500,30001,30500,"stratified (unfiltered default listing, systematic page sample)"
prgi_strat_page068.csv,68,none (unfiltered default listing),500,34001,34500,"stratified (unfiltered default listing, systematic page sample)"
prgi_strat_page076.csv,76,none (unfiltered default listing),500,38001,38500,"stratified (unfiltered default listing, systematic page sample)"
prgi_strat_page084.csv,84,none (unfiltered default listing),500,42001,42500,"stratified (unfiltered default listing, systematic page sample)"
prgi_strat_page092.csv,92,none (unfiltered default listing),500,46001,46500,"stratified (unfiltered default listing, systematic page sample)"
prgi_strat_page100.csv,100,none (unfiltered default listing),500,50001,50500,"stratified (unfiltered default listing, systematic page sample)"
prgi_strat_page108.csv,108,none (unfiltered default listing),500,54001,54500,"stratified (unfiltered default listing, systematic page sample)"
prgi_strat_page116.csv,116,none (unfiltered default listing),500,58001,58500,"stratified (unfiltered default listing, systematic page sample)"
prgi_strat_page124.csv,124,none (unfiltered default listing),500,62001,62500,"stratified (unfiltered default listing, systematic page sample)"
prgi_strat_page132.csv,132,none (unfiltered default listing),500,66001,66500,"stratified (unfiltered default listing, systematic page sample)"
prgi_strat_page140.csv,140,none (unfiltered default listing),500,70001,70500,"stratified (unfiltered default listing, systematic page sample)"
prgi_strat_page148.csv,148,none (unfiltered default listing),500,74001,74500,"stratified (unfiltered default listing, systematic page sample)"
prgi_strat_page156.csv,156,none (unfiltered default listing),500,78001,78500,"stratified (unfiltered default listing, systematic page sample)"
prgi_strat_page164.csv,164,none (unfiltered default listing),284,82001,82284,"stratified (unfiltered default listing, systematic page sample)"
