source_file,SN.,Title,Registration Number,Registration Date,Language,Periodicity,Publisher,Owner,Publication State,Publication District,normalized_title,normalized_language,language_list,normalized_periodicity,title_tokens
prgi_batch_01.csv,1,A,34415,10-04-1982,Bengali,Quarterly,SATARUPA SANYA,SATARUPA SANYA,West Bengal,Kolkata,a,bengali,"[""bengali""]",quarterly,"[""a""]"
prgi_batch_01.csv,2,A &S INDIA,MAHENG/2014/63969,03-09-2015,English,Monthly,MANISH MOHAN SINGH GANDHI,OIL ASIA PUBLICATION PVT LTD,Maharashtra,Mumbai,a &s india,english,"[""english""]",monthly,"[""a"", ""s"", ""india""]"
prgi_batch_01.csv,3,A AND V PUB INTERNATIONAL JOURNAL OF NURSING AND MEDICAL RESEARCH,CHHENG/2022/83874,24-04-2023,English,Quarterly,MONIKA SANJAY DAHARWAL,A AND V PUBLICATIONS,Chhattisgarh,Raipur,a and v pub international journal of nursing and medical research,english,"[""english""]",quarterly,"[""a"", ""and"", ""v"", ""pub"", ""international"", ""journal"", ""of"", ""nursing"", ""and"", ""medical"", ""research""]"
prgi_batch_01.csv,4,A D I T I National Strategy Magazine,TGENG/26/A5935,24-07-2026,English,Bimonthly (Once in two months),KARTIKEYA GUPT,CENTRE FOR STRATEGY CONSULTATION ANALYSES AND NETWORK,Telangana,Rangareddy,a d i t i national strategy magazine,english,"[""english""]",bimonthly (once in two months),"[""a"", ""d"", ""i"", ""t"", ""i"", ""national"", ""strategy"", ""magazine""]"
prgi_batch_01.csv,5,A D NEWS,70043,05-11-2011,Gujarati,Weekly,JAYESH V. JADAV,JAYESH V. JADAV,Gujarat,Surendranagar,a d news,gujarati,"[""gujarati""]",weekly,"[""a"", ""d"", ""news""]"
prgi_batch_01.csv,6,A L C NAVBHARAT UJALA NEWS,UAHIN/26/A4902,10-06-2026,Hindi,Daily,ASHISH SHANKER PANDEY,AANANDMY LIFE CARE CORPORATION PRIVATE LIMITED,Uttarakhand,Dehradun,a l c navbharat ujala news,hindi,"[""hindi""]",daily,"[""a"", ""l"", ""c"", ""navbharat"", ""ujala"", ""news""]"
prgi_batch_01.csv,7,A L C NAVBHARAT UJALA NEWS,UPHIN/25/A4493,01-12-2025,Hindi,Weekly,ASHISH SHANKER PANDEY,AANANDMY LIFE CARE CORPORATION PRIVATE LIMITED,Uttar Pradesh,Moradabad,a l c navbharat ujala news,hindi,"[""hindi""]",weekly,"[""a"", ""l"", ""c"", ""navbharat"", ""ujala"", ""news""]"
prgi_batch_01.csv,8,A L C NAVBHARAT UJALA NEWS,UPHIN/26/A2193,06-04-2026,Hindi,Daily,ASHISH SHANKER PANDEY,AANANDMY LIFE CARE CORPORATION PRIVATE LIMITED,Uttar Pradesh,Moradabad,a l c navbharat ujala news,hindi,"[""hindi""]",daily,"[""a"", ""l"", ""c"", ""navbharat"", ""ujala"", ""news""]"
prgi_batch_01.csv,9,A L C NAVBHARAT UJALA NEWS,DLHIN/26/A3197,06-05-2026,Hindi,Daily,ASHISH SHANKER PANDEY,AANANDMY LIFE CARE CORPORATION PRIVATE LIMITED,Delhi,New Delhi,a l c navbharat ujala news,hindi,"[""hindi""]",daily,"[""a"", ""l"", ""c"", ""navbharat"", ""ujala"", ""news""]"
prgi_batch_01.csv,10,A MIRROR OF FINANCIAL INSTITUTIONS & BANKS IN ODISHA,ODIENG/2012/47852,06-02-2013,English,Annual,RASHMITA MOHAPATRA,VIGYANPAN,Odisha,Khordha,a mirror of financial institutions & banks in odisha,english,"[""english""]",annual,"[""a"", ""mirror"", ""of"", ""financial"", ""institutions"", ""banks"", ""in"", ""odisha""]"
prgi_batch_01.csv,11,A NEW CHAPTER,MAHENG/2023/86689,28-03-2024,English,Monthly,DILSHAD ANJUM SIRAJ WAHAB,DILSHAD ANJUM SIRAJ WAHAB,Maharashtra,Chhatrapati Sambhaji Nagar,a new chapter,english,"[""english""]",monthly,"[""a"", ""new"", ""chapter""]"
prgi_batch_01.csv,12,A One News,TGTEL/25/A4902,08-12-2025,Telugu,Daily,Uduthala Ramesh,Uduthala Ramesh,Telangana,Rangareddy,a one news,telugu,"[""telugu""]",daily,"[""a"", ""one"", ""news""]"
prgi_batch_01.csv,13,A ONE NEWS,MAHMAR/2015/64294,15-10-2015,Marathi,Daily Evening,PRAKASH DAGA SHIRSATH,PRAKASH DAGA SHIRSATH,Maharashtra,Dhule,a one news,marathi,"[""marathi""]",daily evening,"[""a"", ""one"", ""news""]"
prgi_batch_01.csv,14,A ONE SAMACHAR,UPURD/2021/81384,13-04-2022,Urdu,Weekly,RUKHSANA,RUKHSANA,Uttar Pradesh,Lucknow,a one samachar,urdu,"[""urdu""]",weekly,"[""a"", ""one"", ""samachar""]"
prgi_batch_01.csv,15,A ONE SAMACHAR,UPBIL/2023/84195,13-05-2023,"English, HINDI",Monthly,RUKHSANA,RUKHSANA,Uttar Pradesh,Lucknow,a one samachar,"english, hindi","[""english"", ""hindi""]",monthly,"[""a"", ""one"", ""samachar""]"
prgi_batch_01.csv,16,A ONE SAMACHAR,UPBIL/2023/84204,16-05-2023,"English, HINDI",Daily,RUKHSANA,RUKHSANA,Uttar Pradesh,Lucknow,a one samachar,"english, hindi","[""english"", ""hindi""]",daily,"[""a"", ""one"", ""samachar""]"
prgi_batch_01.csv,17,A ONE TOHANA,HARHIN/2015/71026,17-04-2017,Hindi,Weekly,PREM SINGH,PREM SINGH,Haryana,Fatehabad,a one tohana,hindi,"[""hindi""]",weekly,"[""a"", ""one"", ""tohana""]"
